symbol,entry_date,exit_date,entry_price,exit_price,initial_stop,exit_stop,target,quantity,entry_cost,exit_proceeds,net_pnl,net_return_pct,planned_risk_rupees,net_r,fees,holding_sessions,reason,adds
INDIANB,2023-09-18,2023-11-13,390.7427996694384,391.92191082777765,366.229180661551,366.229180661551,,19,7435.249363509909,7415.346531269184,-19.90283224072482,-0.26768210812675985,510.80642103975316,-0.03896355139822311,42.30594424917066,38,weekly_sma10,0
IRFC,2023-12-11,2024-04-01,75.94691791255293,140.19699341248622,71.40912348287091,71.40912348287091,,105,7986.388020389285,14678.603281848587,6692.215261459302,83.79526820352388,523.420347150767,12.785546641219248,54.04266603369366,75,weekly_sma10,0
PNB,2024-04-29,2024-05-06,129.27650324552005,121.59371131093822,121.65453858022832,121.65453858022832,,67,8674.518006026019,8114.558489846112,-559.959516179907,-6.45522340020407,559.959516179906,-1.0000000000000018,45.21245656292406,5,stop,0
COALINDIA,2024-05-03,2024-05-10,397.6706315960836,377.7019182499401,377.89086368178096,377.89086368178096,,25,9956.678438586943,9408.384134314128,-548.2943042728148,-5.506799357383174,548.294304272812,-1.0000000000000049,49.07647061922589,6,stop,0
GODREJPROP,2024-05-06,2024-05-13,2782.539278480847,2614.32832258247,2615.6361406527963,2615.6361406527963,,3,8360.139262195706,7811.220490295788,-548.9187718999174,-6.565904642068718,548.918771899916,-1.0000000000000024,44.28590420478493,6,stop,0
SIEMENS,2024-07-08,2024-07-16,4620.668582913495,4333.385268527892,4335.553045050417,4335.553045050417,,1,4627.599585787865,4306.8851906251,-320.71439516276496,-6.9304698735761985,320.71439516276496,-1.0,33.43108077716208,7,stop,0
GODFRYPHLP,2024-07-25,2024-08-05,1437.9544507022206,1304.718243474663,1305.3709289391325,1305.3709289391325,,3,4320.334147134822,3888.2834983283537,-432.0506488064684,-10.000398906482676,432.0506488064684,-1.0,32.34202712379598,8,stop,0
DIXON,2024-03-26,2024-09-09,7235.477156682882,12015.081499585205,6823.410776562248,6823.410776562248,,1,7246.330372417907,11977.058877335829,4730.728504917922,65.28447175034616,456.5612998507004,10.361650246012776,48.87583798440213,112,weekly_sma10,0
NATIONALUM,2024-09-24,2024-12-16,170.29787388266837,211.52194435100606,159.15284547952868,159.15284547952868,,46,7845.45275190065,9695.41442598606,1849.9616740854108,23.580049903904357,559.058430853278,3.3090667665307487,46.34556745812354,57,weekly_sma10,0
TRENT,2025-01-01,2025-01-08,7136.042431977503,6691.397596918472,6694.744969403173,6694.744969403173,,1,7146.74649562547,6661.360500523095,-485.3859951023751,-6.7917057838763455,485.3859951023751,-1.0,40.74116004334397,6,stop,0
