id,pattern,entry,exit,market_filter,pyramid,period,start,end,initial_cash,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,closed_trades,win_rate_pct,profit_factor,average_win_pct,average_loss_pct,mean_net_r,mean_holding_sessions,average_exposure_pct,fees_and_fixed_charges
three__intraday_pivot__weekly_sma10__m1__a1,three,intraday_pivot,weekly_sma10,True,True,full_stress,2016-01-01,2026-09-23,100000,100115.50679938677,0.11550679938676645,0.01076232277232858,2.137973254135106,5,20.0,1.0779234429154185,30.662248552936717,-5.571275751440251,0.09205530066036019,31.8,0.36442168763386124,389.308414316522
three__intraday_pivot__target_3r__m0__a0,three,intraday_pivot,target_3r,False,False,development,2016-01-01,2020-12-31,100000,99766.92808823184,-0.23307191176815678,-0.046664287741216004,1.761212065349227,4,25.0,0.8397691820467512,20.878290136195435,-6.975159964335275,-0.08770869752882171,39.75,0.8933714050917823,161.00065671987704
three__intraday_pivot__target_3r__m0__a0,three,intraday_pivot,target_3r,False,False,validation,2021-01-01,2023-12-29,100000,99518.18452896747,-0.48181547103253175,-0.16141576062018714,0.48181547103253175,1,0.0,0.0,,-5.716330379171584,-1.0000000000000022,7.0,0.06678461141893866,44.59255743214714
three__intraday_pivot__target_3r__m0__a0,three,intraday_pivot,target_3r,False,False,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__target_3r__m0__a0,three,intraday_pivot,target_3r,False,False,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__target_3r__m0__a0,three,intraday_pivot,target_3r,False,False,full,2016-01-01,2026-09-23,100000,99285.11261719931,-0.7148873828006885,-0.0668613589341005,1.761212065349227,5,20.0,0.6308194105597082,20.878290136195435,-6.660452568044352,-0.2701669580230578,33.2,0.4350542107575912,205.5932141520242
three__intraday_pivot__target_3r__m0__a0,three,intraday_pivot,target_3r,False,False,full_stress,2016-01-01,2026-09-23,100000,99155.22796902909,-0.8447720309709084,-0.07905593585848525,1.6138698755983394,5,20.0,0.5525397813272587,20.018213326146803,-7.332211538512782,-0.33588226220155687,33.2,0.3684166279799891,386.41890931043065
three__intraday_pivot__target_3r__m0__a1,three,intraday_pivot,target_3r,False,True,development,2016-01-01,2020-12-31,100000,99766.92808823184,-0.23307191176815678,-0.046664287741216004,1.761212065349227,4,25.0,0.8397691820467512,20.878290136195435,-6.975159964335275,-0.08770869752882171,39.75,0.8933714050917823,161.00065671987704
three__intraday_pivot__target_3r__m0__a1,three,intraday_pivot,target_3r,False,True,validation,2021-01-01,2023-12-29,100000,99518.18452896747,-0.48181547103253175,-0.16141576062018714,0.48181547103253175,1,0.0,0.0,,-5.716330379171584,-1.0000000000000022,7.0,0.06678461141893866,44.59255743214714
three__intraday_pivot__target_3r__m0__a1,three,intraday_pivot,target_3r,False,True,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__target_3r__m0__a1,three,intraday_pivot,target_3r,False,True,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__target_3r__m0__a1,three,intraday_pivot,target_3r,False,True,full,2016-01-01,2026-09-23,100000,99285.11261719931,-0.7148873828006885,-0.0668613589341005,1.761212065349227,5,20.0,0.6308194105597082,20.878290136195435,-6.660452568044352,-0.2701669580230578,33.2,0.4350542107575912,205.5932141520242
three__intraday_pivot__target_3r__m0__a1,three,intraday_pivot,target_3r,False,True,full_stress,2016-01-01,2026-09-23,100000,99155.22796902909,-0.8447720309709084,-0.07905593585848525,1.6138698755983394,5,20.0,0.5525397813272587,20.018213326146803,-7.332211538512782,-0.33588226220155687,33.2,0.3684166279799891,386.41890931043065
three__intraday_pivot__target_3r__m1__a0,three,intraday_pivot,target_3r,True,False,development,2016-01-01,2020-12-31,100000,99766.92808823184,-0.23307191176815678,-0.046664287741216004,1.761212065349227,4,25.0,0.8397691820467512,20.878290136195435,-6.975159964335275,-0.08770869752882171,39.75,0.8933714050917823,161.00065671987704
three__intraday_pivot__target_3r__m1__a0,three,intraday_pivot,target_3r,True,False,validation,2021-01-01,2023-12-29,100000,99518.18452896747,-0.48181547103253175,-0.16141576062018714,0.48181547103253175,1,0.0,0.0,,-5.716330379171584,-1.0000000000000022,7.0,0.06678461141893866,44.59255743214714
three__intraday_pivot__target_3r__m1__a0,three,intraday_pivot,target_3r,True,False,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__target_3r__m1__a0,three,intraday_pivot,target_3r,True,False,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__target_3r__m1__a0,three,intraday_pivot,target_3r,True,False,full,2016-01-01,2026-09-23,100000,99285.11261719931,-0.7148873828006885,-0.0668613589341005,1.761212065349227,5,20.0,0.6308194105597082,20.878290136195435,-6.660452568044352,-0.2701669580230578,33.2,0.4350542107575912,205.5932141520242
three__intraday_pivot__target_3r__m1__a0,three,intraday_pivot,target_3r,True,False,full_stress,2016-01-01,2026-09-23,100000,99155.22796902909,-0.8447720309709084,-0.07905593585848525,1.6138698755983394,5,20.0,0.5525397813272587,20.018213326146803,-7.332211538512782,-0.33588226220155687,33.2,0.3684166279799891,386.41890931043065
three__intraday_pivot__target_3r__m1__a1,three,intraday_pivot,target_3r,True,True,development,2016-01-01,2020-12-31,100000,99766.92808823184,-0.23307191176815678,-0.046664287741216004,1.761212065349227,4,25.0,0.8397691820467512,20.878290136195435,-6.975159964335275,-0.08770869752882171,39.75,0.8933714050917823,161.00065671987704
three__intraday_pivot__target_3r__m1__a1,three,intraday_pivot,target_3r,True,True,validation,2021-01-01,2023-12-29,100000,99518.18452896747,-0.48181547103253175,-0.16141576062018714,0.48181547103253175,1,0.0,0.0,,-5.716330379171584,-1.0000000000000022,7.0,0.06678461141893866,44.59255743214714
three__intraday_pivot__target_3r__m1__a1,three,intraday_pivot,target_3r,True,True,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__target_3r__m1__a1,three,intraday_pivot,target_3r,True,True,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__intraday_pivot__target_3r__m1__a1,three,intraday_pivot,target_3r,True,True,full,2016-01-01,2026-09-23,100000,99285.11261719931,-0.7148873828006885,-0.0668613589341005,1.761212065349227,5,20.0,0.6308194105597082,20.878290136195435,-6.660452568044352,-0.2701669580230578,33.2,0.4350542107575912,205.5932141520242
three__intraday_pivot__target_3r__m1__a1,three,intraday_pivot,target_3r,True,True,full_stress,2016-01-01,2026-09-23,100000,99155.22796902909,-0.8447720309709084,-0.07905593585848525,1.6138698755983394,5,20.0,0.5525397813272587,20.018213326146803,-7.332211538512782,-0.33588226220155687,33.2,0.3684166279799891,386.41890931043065
three__close_volume_next_open__atr_trail__m0__a0,three,close_volume_next_open,atr_trail,False,False,development,2016-01-01,2020-12-31,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m0__a0,three,close_volume_next_open,atr_trail,False,False,validation,2021-01-01,2023-12-29,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m0__a0,three,close_volume_next_open,atr_trail,False,False,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m0__a0,three,close_volume_next_open,atr_trail,False,False,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m0__a0,three,close_volume_next_open,atr_trail,False,False,full,2016-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m0__a0,three,close_volume_next_open,atr_trail,False,False,full_stress,2016-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m0__a1,three,close_volume_next_open,atr_trail,False,True,development,2016-01-01,2020-12-31,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m0__a1,three,close_volume_next_open,atr_trail,False,True,validation,2021-01-01,2023-12-29,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m0__a1,three,close_volume_next_open,atr_trail,False,True,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m0__a1,three,close_volume_next_open,atr_trail,False,True,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m0__a1,three,close_volume_next_open,atr_trail,False,True,full,2016-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m0__a1,three,close_volume_next_open,atr_trail,False,True,full_stress,2016-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m1__a0,three,close_volume_next_open,atr_trail,True,False,development,2016-01-01,2020-12-31,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m1__a0,three,close_volume_next_open,atr_trail,True,False,validation,2021-01-01,2023-12-29,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m1__a0,three,close_volume_next_open,atr_trail,True,False,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m1__a0,three,close_volume_next_open,atr_trail,True,False,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m1__a0,three,close_volume_next_open,atr_trail,True,False,full,2016-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m1__a0,three,close_volume_next_open,atr_trail,True,False,full_stress,2016-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m1__a1,three,close_volume_next_open,atr_trail,True,True,development,2016-01-01,2020-12-31,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m1__a1,three,close_volume_next_open,atr_trail,True,True,validation,2021-01-01,2023-12-29,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m1__a1,three,close_volume_next_open,atr_trail,True,True,later,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m1__a1,three,close_volume_next_open,atr_trail,True,True,later_stress,2024-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m1__a1,three,close_volume_next_open,atr_trail,True,True,full,2016-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__atr_trail__m1__a1,three,close_volume_next_open,atr_trail,True,True,full_stress,2016-01-01,2026-09-23,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
three__close_volume_next_open__weekly_sma10__m0__a0,three,close_volume_next_open,weekly_sma10,False,False,development,2016-01-01,2020-12-31,100000,100000.0,0.0,0.0,-0.0,0,,,,,,,0.0,0.0
